año,mes,nombre_mes,tm_min,tm_max,tm_mes,p_max,indicativo
2021,3,Marzo,6.3,16.1,11.3,3.4(08),3195
2021,4,Abril,8.6,17.6,13.1,29.6(10),3195
2021,5,Mayo,12.1,23.5,17.8,6.3(31),3195
2021,6,Junio,16.4,28.1,22.3,40.4(16),3195
2021,7,Julio,18.9,32.5,25.7,6.1(25),3195
2021,8,Agosto,20.4,33.7,27.1,32.5(31),3195
2021,9,Septiembre,15.9,25.4,20.7,38.9(24),3195
2021,10,Octubre,11.7,21.0,16.4,67.7(29),3195
2021,11,Noviembre,5.1,12.7,8.9,13.0(22),3195
2021,12,Diciembre,5.6,12.6,9.1,11.5(26),3195
2022,1,Enero,2.6,11.6,7.1,7.3(04),3195
2022,2,Febrero,5.2,15.1,10.2,3.9(25),3195
2022,3,Marzo,6.7,13.3,10.0,,3195
2022,4,Abril,7.5,18.2,12.9,22.8(22),3195
2022,5,Mayo,14.2,26.9,20.6,2.6(03),3195
2022,6,Junio,18.1,31.3,24.8,0.2(22),3195
2022,7,Julio,22.4,36.8,29.6,8.2(06),3195
2022,8,Agosto,21.4,34.3,27.9,2.1(17),3195
2022,9,Septiembre,16.1,26.8,21.5,18.5(12),3195
2022,10,Octubre,14.1,22.9,18.5,8.8(20),3195
2022,12,Diciembre,6.9,11.8,9.4,26.6(14),3195
2023,1,Enero,2.5,10.0,6.3,6.3(07),3195
2023,2,Febrero,3.1,12.3,7.7,1.1(07),3195
2023,3,Marzo,7.4,17.9,12.7,14.3(08),3195
2023,4,Abril,10.7,23.8,17.3,7.3(21),3195
2023,5,Mayo,12.1,23.8,18.0,18.8(25),3195
2023,6,Junio,17.7,29.2,23.5,9.8(07),3195
2023,7,Julio,21.0,34.7,27.9,0.0(--),3195
2023,8,Agosto,20.8,35.2,28.0,0.0(--),3195
2023,9,Septiembre,16.0,25.5,20.8,,3195
2023,10,Octubre,13.7,21.8,17.7,,3195
2023,11,Noviembre,7.9,14.6,11.3,,3195
2023,12,Diciembre,3.5,10.6,7.1,14.2(07),3195
2024,1,Enero,5.2,11.6,8.4,16.3(19),3195
2024,2,Febrero,6.0,14.2,10.1,6.2(08),3195
2024,3,Marzo,7.2,16.2,11.7,12.9(30),3195
2024,4,Abril,9.0,21.0,15.0,4.4(26),3195
2024,5,Mayo,12.2,24.3,18.3,5.4(05),3195
2024,6,Junio,16.2,28.6,22.4,9.0(10),3195
2024,7,Julio,21.1,35.2,28.2,0.0(--),3195
2024,8,Agosto,22.0,35.0,28.5,14.7(02),3195
2024,9,Septiembre,15.4,26.1,20.8,6.7(19),3195
